Nb de candidats ayant fait au moins un vœu confirmé PP 2025;Nb de candidats ayant fait au moins un vœu confirmé PP 2024;Nb de candidats ayant fait au moins un vœu confirmé PP 2023;Nb de cddt ayant au moins une proposition Parcoursup 2025;Nb de cddt ayant au moins une proposition Parcoursup 2024;Nb de cddt ayant au moins une proposition Parcoursup 2023;Etablissement;Type de formation de la scolarité;Niveau d'études
0;;;;;;Of-Cfa IAFM Packwell Formation;BTS - BTSA - BTSM;1ère année d'études supérieures
;0;1;;;1;Of-Cfa Icademie Paris;Autre formation du supérieur;1ère année d'études supérieures
0;;;;;;Of-Cfa Icademie Paris;Autre formation du supérieur;2nd année d'études supérieures
;1;;;1;;Of-Cfa Icademie Paris;BTS - BTSA - BTSM;1ère année d'études supérieures
;;0;;;;Of-Cfa Icademie Paris;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;;;Of-Cfa Icademie Paris;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
3;1;0;1;2;1;Of-Cfa Icademie Paris;Formations professionnelles;1ère année d'études supérieures
0;1;;;1;;Of-Cfa Icademie Paris;Formations professionnelles;2nd année d'études supérieures
;1;;;1;;Of-Cfa Icademie Paris;Licence professionnelle;1ère année d'études supérieures
1;;;;;;Of-Cfa Icademie Paris;Licence professionnelle;3ème année d'études supérieures
0;0;;;;;Of-Cfa IFOCOP;Formations professionnelles;1ère année d'études supérieures
;1;0;;;;Of-Cfa IFOCOP;Formations professionnelles;2nd année d'études supérieures
;;0;;;;Of-Cfa IFOCOP;Terminale;Terminale
0;;;;;;OF-CFA I-maginer Arinfo Ecole des Métiers du Numérique;Terminale;Terminale
0;1;;;1;;Of-Cfa Institut Aéronautique Amaury de la Grange;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;OF-CFA INSTITUT DES ARTS DE LA GESTION;Autre formation du supérieur;4ème année d'études supérieures ou plus
0;0;;1;;;OF-CFA INSTITUT DES ARTS DE LA GESTION;BTS - BTSA - BTSM;1ère année d'études supérieures
1;0;;;;;OF-CFA INSTITUT DES ARTS DE LA GESTION;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;;;OF-CFA INSTITUT DES ARTS DE LA GESTION;Licence professionnelle;3ème année d'études supérieures
0;;;;;;Of-Cfa Institut du Marais Charlemagne Polles;Autre formation du supérieur;3ème année d'études supérieures
3;0;0;;;2;Of-Cfa Institut du Marais Charlemagne Polles;BTS - BTSA - BTSM;1ère année d'études supérieures
;0;0;;1;;Of-Cfa Institut du Marais Charlemagne Polles;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;0;;;;Of-Cfa Institut du Marais Charlemagne Polles;Licence professionnelle;3ème année d'études supérieures
0;;;;;;Of-Cfa International Business Software Global Services;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;OF-CFA La compagnie de Formation My Digital School;Autre formation du supérieur;3ème année d'études supérieures
0;;;;;;OF-CFA La compagnie de Formation My Digital School;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;OF-CFA La compagnie de Formation My Digital School;Formations professionnelles;2nd année d'études supérieures
;1;;;;;OF-CFA L'atelier des Chefs;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;OF-CFA L'atelier des Chefs;Formations aux métiers de l'hôtellerie restauration;1ère année d'études supérieures
0;0;;1;;;OF-CFA L'atelier des Chefs;Formations professionnelles;1ère année d'études supérieures
0;;;1;;;OF-CFA L'atelier des Chefs;Terminale;Terminale
;0;;;;;OF-CFA Miromesnil;BTS - BTSA - BTSM;2nd année d'études supérieures
2;1;;2;1;;OF-CFA Miromesnil;DCG;1ère année d'études supérieures
0;;;;;;OF-CFA Miromesnil;DCG;2nd année d'études supérieures
;;0;;;;OF-CFA Miromesnil;Formations professionnelles;1ère année d'études supérieures
0;;;1;;;Of-Cfa Paris Nord Business School;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;1;;;Of-Cfa Paris Nord Business School;BTS - BTSA - BTSM;2nd année d'études supérieures
2;1;0;;1;;OF-CFA Raise On - Business european school of anti fraud;BTS - BTSA - BTSM;1ère année d'études supérieures
2;1;;;;;OF-CFA Raise On - Business european school of anti fraud;BTS - BTSA - BTSM;2nd année d'études supérieures
9;5;1;8;4;1;OF-CFA Schola Nova;BTS - BTSA - BTSM;1ère année d'études supérieures
0;6;1;;3;;OF-CFA Schola Nova;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;;;OF-CFA Schola Nova;BTS - BTSA - BTSM;3ème année d'études supérieures
0;1;;;1;;OF-CFA Schola Nova;Formations professionnelles;1ère année d'études supérieures
0;;;;;;OF-CFA Schola Nova;Formations professionnelles;3ème année d'études supérieures
;;1;;;1;OF-CFA Schola Nova;Licence professionnelle;3ème année d'études supérieures
;0;;;;;OF-CFA Silvya Terrade Vaugirard -;BTS - BTSA - BTSM;1ère année d'études supérieures
0;1;;;;;OF-CFA Silvya Terrade Vaugirard -;BTS - BTSA - BTSM;2nd année d'études supérieures
;;1;;;;OF-CFA Silvya Terrade Vaugirard -;Formations professionnelles;1ère année d'études supérieures
;2;0;;1;1;OF-CFA Silvya Terrade Vaugirard -;Terminale;Terminale
0;;;;;;Of-Cfa Webitech Paris - Nextgroup;Autre formation du supérieur;1ère année d'études supérieures
0;1;0;1;;;Of-Cfa Webitech Paris - Nextgroup;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;;;;;Of-Cfa Webitech Paris - Nextgroup;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;Of-Cfa Webitech Paris - Nextgroup;Licence professionnelle;3ème année d'études supérieures
;;0;;;;Omega Finance;Autre formation du supérieur;2nd année d'études supérieures
;;7;;;8;Omega Finance;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;2;;;2;Omega Finance;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;OpenClassrooms SAS;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;;;;OpenClassrooms SAS;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;OpenClassrooms SAS;Formations professionnelles;1ère année d'études supérieures
0;;;;;;OpenClassrooms SAS;Formations professionnelles;2nd année d'études supérieures
0;;;;;;OpenClassrooms SAS;Formations professionnelles;3ème année d'études supérieures
0;;;;;;OpenClassrooms SAS;Licence professionnelle;3ème année d'études supérieures
;0;;;;;Opticours;Autre formation du supérieur;2nd année d'études supérieures
;;0;;;;Opticours;Autre formation du supérieur;3ème année d'études supérieures
3;4;4;3;5;4;Opticours;BTS - BTSA - BTSM;1ère année d'études supérieures
4;2;4;;1;2;Opticours;BTS - BTSA - BTSM;2nd année d'études supérieures
;1;;;1;;Opticours;BTS - BTSA - BTSM;3ème année d'études supérieures
0;0;;;1;;Paris BTS Bachelor;Autre formation du supérieur;1ère année d'études supérieures
0;0;;;;;Paris BTS Bachelor;Autre formation du supérieur;3ème année d'études supérieures
6;6;;3;4;;Paris BTS Bachelor;BTS - BTSA - BTSM;1ère année d'études supérieures
4;4;;2;1;;Paris BTS Bachelor;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;Paris BTS Bachelor;Formations professionnelles;1ère année d'études supérieures
0;;;;;;Paris BTS Bachelor;Formations professionnelles;3ème année d'études supérieures
0;;;;;;Paris BTS Bachelor;Licence professionnelle;3ème année d'études supérieures
1;0;;;;;Paris BTS Bachelor;Terminale;Terminale
1;;;;;;Paris School of Tourism and Communication;Autre formation du supérieur;1ère année d'études supérieures
1;;;1;;;Paris School of Tourism and Communication;Autre formation du supérieur;2nd année d'études supérieures
1;;;1;;;Paris School of Tourism and Communication;Autre formation du supérieur;3ème année d'études supérieures
1;;;1;;;Paris School of Tourism and Communication;Autre formation du supérieur;4ème année d'études supérieures ou plus
4;1;;2;2;;Paris School of Tourism and Communication;BTS - BTSA - BTSM;1ère année d'études supérieures
4;0;;4;;;Paris School of Tourism and Communication;BTS - BTSA - BTSM;2nd année d'études supérieures
0;0;;;;;Paris School of Tourism and Communication;Formations professionnelles;3ème année d'études supérieures
;0;0;;;;Paris Sciences Lettres PSL;Autre formation du supérieur;1ère année d'études supérieures
1;0;1;1;1;1;Paris Sciences Lettres PSL;Autre formation du supérieur;4ème année d'études supérieures ou plus
0;;;;;;Paris Sciences Lettres PSL;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;1;;;Paris Sciences Lettres PSL;CLPES;Année préparatoire aux études supérieures
1;;1;1;;1;Paris Sciences Lettres PSL;Diplômes d'université ou d'établissement;1ère année d'études supérieures
;1;;;1;;Paris Sciences Lettres PSL;Formations des écoles d'ingénieurs;3ème année d'études supérieures
9;2;7;9;1;8;Paris Sciences Lettres PSL;Licence;1ère année d'études supérieures
;0;1;;;2;Paris Sciences Lettres PSL;Licence;3ème année d'études supérieures
10;12;5;9;12;5;Paris Sciences Lettres PSL;Licence sélective;1ère année d'études supérieures
6;3;2;5;4;2;Paris Sciences Lettres PSL;Licence sélective;2nd année d'études supérieures
4;2;1;4;2;1;Paris Sciences Lettres PSL;Licence sélective;3ème année d'études supérieures
;0;0;;;;Paris Sciences Lettres PSL;Master;1ère année d'études supérieures
9;5;4;9;5;3;Paris Sciences Lettres PSL;Master;4ème année d'études supérieures ou plus
4;;;4;;;Paris Sciences Lettres PSL;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
;0;;;;;POINT F;Autre formation du supérieur;2nd année d'études supérieures
1;;1;2;;1;POINT F;BTS - BTSA - BTSM;1ère année d'études supérieures
;1;;;1;;POINT F;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
;0;;;;;POINT F;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
21;33;9;20;31;10;Pôle Paris alternance - Réseau des grandes écoles spécialisées;Formations des écoles de commerce et de management;1ère année d'études supérieures
3;2;1;2;2;1;Pôle Paris alternance - Réseau des grandes écoles spécialisées;Formations des écoles de commerce et de management;2nd année d'études supérieures
1;4;1;1;3;;Pôle Paris alternance - Réseau des grandes écoles spécialisées;Formations des écoles de commerce et de management;3ème année d'études supérieures
3;0;0;4;1;;Pôle Paris alternance - Réseau des grandes écoles spécialisées;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
16;9;10;11;9;10;Polytech Sorbonne;Formations des écoles d'ingénieurs;1ère année d'études supérieures
2;4;3;2;3;3;Polytech Sorbonne;Formations des écoles d'ingénieurs;2nd année d'études supérieures
1;1;2;1;1;2;Polytech Sorbonne;Formations des écoles d'ingénieurs;3ème année d'études supérieures
0;0;1;1;;1;Polytech Sorbonne;Formations des écoles d'ingénieurs;4ème année d'études supérieures ou plus
0;;;;;;Polytech Sorbonne;Master;4ème année d'études supérieures ou plus
;0;;;;;PREPA JCOURS;BTS - BTSA - BTSM;2nd année d'études supérieures
0;0;0;;;;PREPA JCOURS;Terminale;Terminale
2;1;6;;1;5;Progress com;BTS - BTSA - BTSM;1ère année d'études supérieures
1;2;2;;2;2;Progress com;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;PROGRESS SANTE;Autre formation du supérieur;3ème année d'études supérieures
5;7;7;6;7;7;PROGRESS SANTE;BTS - BTSA - BTSM;1ère année d'études supérieures
6;3;2;1;2;;PROGRESS SANTE;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;0;;;;PROGRESS SANTE;BTS - BTSA - BTSM;3ème année d'études supérieures
1;;;1;;;PROGRESS SANTE;Etudes de santé;3ème année d'études supérieures
;;2;;;2;PROGRESS SANTE;Formations professionnelles;1ère année d'études supérieures
;0;;;;;PROGRESS SANTE;Formations professionnelles;2nd année d'études supérieures
1;1;;;;;PROGRESS SANTE;Licence professionnelle;3ème année d'études supérieures
;1;0;;1;;PROGRESS SANTE;Prépa formation paramédicale (prépa orthophoniste, ...);Année préparatoire aux études supérieures
;;0;;;;Pro Sap Formations;Autre formation du supérieur;1ère année d'études supérieures
;;1;;;1;Pro Sap Formations;Autre formation du supérieur;2nd année d'études supérieures
;;0;;;1;Pro Sap Formations;Autre formation du supérieur;4ème année d'études supérieures ou plus
;;1;;;;Pro Sap Formations;Formations professionnelles;1ère année d'études supérieures
;;1;;;1;Pro Sap Formations;Formations professionnelles;3ème année d'études supérieures
;;1;;;1;Pro Sap Formations;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
8;3;2;6;2;2;Pro Sap Formations;Terminale;Terminale
13;14;26;11;10;21;PSB Paris School of Business;Formations des écoles de commerce et de management;1ère année d'études supérieures
1;2;1;1;2;2;PSB Paris School of Business;Formations des écoles de commerce et de management;2nd année d'études supérieures
4;1;2;2;1;2;PSB Paris School of Business;Formations des écoles de commerce et de management;3ème année d'études supérieures
1;2;2;;2;3;PSB Paris School of Business;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
1;0;;3;;;PSPBB - Pôle Supérieur d'Enseignement Artistique Paris Boulogne-Billancourt;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
;1;;;1;;PSPBB - Pôle Supérieur d'Enseignement Artistique Paris Boulogne-Billancourt;Formations d'art, de design et du spectacle vivant;2nd année d'études supérieures
;1;;;1;;PSTB-Paris School of Technology and Business;Autre formation du supérieur;1ère année d'études supérieures
;0;;;;;PSTB-Paris School of Technology and Business;Autre formation du supérieur;2nd année d'études supérieures
3;7;;4;7;;PSTB-Paris School of Technology and Business;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;PSTB-Paris School of Technology and Business;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;PSTB-Paris School of Technology and Business;Licence professionnelle;3ème année d'études supérieures
1;;;1;;;Real Campus by L'Oréal;Formations professionnelles;3ème année d'études supérieures
1;;;1;;;Real Campus by L'Oréal;Licence professionnelle;1ère année d'études supérieures
;0;0;;;;Regroupement IFSI Université Paris Cité;Etudes de santé;1ère année d'études supérieures
0;0;;1;;;Regroupement IFSI Université Paris Cité;Etudes de santé;3ème année d'études supérieures
1;;;1;;;Regroupement IFSI Université Paris Cité;Terminale;Terminale
3;;;;;;Rennes School of Business Paris;Formations des écoles de commerce et de management;1ère année d'études supérieures
0;;;;;;Rennes School of Business Paris;Formations des écoles de commerce et de management;3ème année d'études supérieures
1;;;1;;;Rocket School;Autre formation du supérieur;1ère année d'études supérieures
1;;;;;;Rocket School;Autre formation du supérieur;4ème année d'études supérieures ou plus
0;;;1;;;Rocket School;Formations professionnelles;1ère année d'études supérieures
1;;;1;;;Rocket School;Formations professionnelles;3ème année d'études supérieures
0;;;;;;Silvya Terrade Bastille;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;Silvya Terrade Bastille;CAAP;Année préparatoire aux études supérieures
0;;;;;;Silvya Terrade Bastille;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
0;;;;;;Silvya Terrade Bastille;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1;;;1;;;Silvya Terrade Bastille;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
0;;;;;;Site de Formation Paris - CFA Intégrale Academy;Autre formation du supérieur;1ère année d'études supérieures
;0;;;;;Site de Formation Paris - CFA Intégrale Academy;Autre formation du supérieur;2nd année d'études supérieures
2;;;3;;;Site de Formation Paris - CFA Intégrale Academy;BTS - BTSA - BTSM;1ère année d'études supérieures
;0;;;;;Site de Formation Paris - CFA Intégrale Academy;BTS - BTSA - BTSM;2nd année d'études supérieures
35;4;2;13;2;2;Sorbonne université;Année préparatoire au DAEU;Année préparatoire aux études supérieures
9;1;0;8;1;;Sorbonne université;Autre formation du supérieur;1ère année d'études supérieures
2;;;2;;;Sorbonne université;Autre formation du supérieur;2nd année d'études supérieures
1;;;;;;Sorbonne université;Autre formation du supérieur;3ème année d'études supérieures
3;2;1;6;1;1;Sorbonne université;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;1;;;Sorbonne université;BTS - BTSA - BTSM;1ère année d'études supérieures
38;4;0;21;3;;Sorbonne université;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
4;;;3;;;Sorbonne université;C.M.I - Cursus Master en Ingénierie;1ère année d'études supérieures
1;;;;;;Sorbonne université;C.M.I - Cursus Master en Ingénierie;2nd année d'études supérieures
1;;;;;;Sorbonne université;C.M.I - Cursus Master en Ingénierie;3ème année d'études supérieures
;;1;;;1;Sorbonne université;DEUST;1ère année d'études supérieures
;1;;;1;;Sorbonne université;DEUST;2nd année d'études supérieures
51;2;1;38;1;;Sorbonne université;Diplômes d'université ou d'établissement;1ère année d'études supérieures
0;;;;;;Sorbonne université;Diplômes d'université ou d'établissement;2nd année d'études supérieures
2;;;2;;;Sorbonne université;Etudes de santé;1ère année d'études supérieures
0;;;;;;Sorbonne université;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
3;;;2;;;Sorbonne université;Formations des écoles d'ingénieurs;1ère année d'études supérieures
0;0;1;;;1;Sorbonne université;Formations des écoles d'ingénieurs;2nd année d'études supérieures
5;1;0;4;1;;Sorbonne université;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1 602;116;101;1 333;86;86;Sorbonne université;Licence;1ère année d'études supérieures
147;20;6;132;20;8;Sorbonne université;Licence;2nd année d'études supérieures
173;13;11;157;13;14;Sorbonne université;Licence;3ème année d'études supérieures
3;;0;5;;;Sorbonne université;Licence;4ème année d'études supérieures ou plus
1;;;;;;Sorbonne université;Licence professionnelle;1ère année d'études supérieures
1;;;2;;;Sorbonne université;Licence professionnelle;3ème année d'études supérieures
6;1;1;7;1;1;Sorbonne université;Licence sélective;1ère année d'études supérieures
1;;;1;;;Sorbonne université;Licence sélective;2nd année d'études supérieures
1;;;;;;Sorbonne université;Master;1ère année d'études supérieures
78;5;7;94;6;7;Sorbonne université;Master;4ème année d'études supérieures ou plus
0;;;;;;Sorbonne université;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
1;;;1;;;Sorbonne université;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
;;1;;;;Sorbonne université;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);2nd année d'études supérieures
;0;;;;;Sorbonne université;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);4ème année d'études supérieures ou plus
36;7;3;32;6;3;Sorbonne université;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
1;;;1;;;Sorbonne université;Semestre passerelle/rebond;1ère année d'études supérieures
1;;;1;;;Sorbonne université;Semestre passerelle/rebond;4ème année d'études supérieures ou plus
0;0;;;;;Sorbonne université;Terminale;Année préparatoire aux études supérieures
0;;;;;;Sorbonne université;Terminale;Terminale
0;;1;;;;Sorbonne Université – Médecine;Année préparatoire au DAEU;Année préparatoire aux études supérieures
8;11;7;8;11;8;Sorbonne Université – Médecine;Autre formation du supérieur;1ère année d'études supérieures
0;0;2;;;2;Sorbonne Université – Médecine;Autre formation du supérieur;2nd année d'études supérieures
2;1;0;1;;;Sorbonne Université – Médecine;Autre formation du supérieur;3ème année d'études supérieures
2;4;8;1;4;8;Sorbonne Université – Médecine;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;;;;Sorbonne Université – Médecine;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
0;;0;;;;Sorbonne Université – Médecine;DEUST;1ère année d'études supérieures
;0;;;;;Sorbonne Université – Médecine;DEUST;2nd année d'études supérieures
7;20;6;7;18;6;Sorbonne Université – Médecine;Diplômes d'université ou d'établissement;1ère année d'études supérieures
1;;;1;;;Sorbonne Université – Médecine;Diplômes d'université ou d'établissement;2nd année d'études supérieures
13;;;14;;;Sorbonne Université – Médecine;Etudes de santé;1ère année d'études supérieures
3;;;2;;;Sorbonne Université – Médecine;Etudes de santé;2nd année d'études supérieures
7;;;4;;;Sorbonne Université – Médecine;Etudes de santé;3ème année d'études supérieures
;;0;;;;Sorbonne Université – Médecine;Formations des écoles d'ingénieurs;3ème année d'études supérieures
0;;1;;;1;Sorbonne Université – Médecine;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
801;970;975;772;935;956;Sorbonne Université – Médecine;Licence;1ère année d'études supérieures
6;5;11;5;6;11;Sorbonne Université – Médecine;Licence;2nd année d'études supérieures
1;0;3;;;4;Sorbonne Université – Médecine;Licence;3ème année d'études supérieures
;0;1;;;1;Sorbonne Université – Médecine;Licence professionnelle;1ère année d'études supérieures
1;;;1;;;Sorbonne Université – Médecine;Licence sélective;1ère année d'études supérieures
;;0;;;;Sorbonne Université – Médecine;Licence sélective;3ème année d'études supérieures
0;;;;;;Sorbonne Université – Médecine;Master;1ère année d'études supérieures
3;7;1;2;5;;Sorbonne Université – Médecine;Master;4ème année d'études supérieures ou plus
0;;;;;;Sorbonne Université – Médecine;Prépa formation en soins infirmiers;2nd année d'études supérieures
1;2;;1;1;;Sorbonne Université – Médecine;Prépa formation en soins infirmiers;Année préparatoire aux études supérieures
;1;0;;1;;Sorbonne Université – Médecine;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);2nd année d'études supérieures
0;1;;;1;;Sorbonne Université – Médecine;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);3ème année d'études supérieures
0;2;0;;3;1;Sorbonne Université – Médecine;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);4ème année d'études supérieures ou plus
168;177;75;154;178;76;Sorbonne Université – Médecine;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
;;1;;;1;Sorbonne Université – Médecine;Semestre passerelle/rebond;1ère année d'études supérieures
6;3;;3;4;;Studency;BTS - BTSA - BTSM;1ère année d'études supérieures
3;1;0;3;;1;Studency;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;Studency;BTS - BTSA - BTSM;4ème année d'études supérieures ou plus
2;;;1;;;Studency;DCG;1ère année d'études supérieures
;0;;;;;Studency;DCG;2nd année d'études supérieures
;0;;;1;;Studency;Formations aux métiers du sport;1ère année d'études supérieures
0;;;;;;Studency;Formations professionnelles;3ème année d'études supérieures
0;;;;;;Studency;Licence professionnelle;3ème année d'études supérieures
1;;;1;;;STUDIO M;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;1;;;STUDIO M;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;STUDIO M;DCG;3ème année d'études supérieures
0;;;;;;STUDIO M;Formations professionnelles;1ère année d'études supérieures
0;;;;;;STUDIO M;Formations professionnelles;2nd année d'études supérieures
0;;;;;;STUDIO M;Terminale;Terminale
1;;;;;;SUP DE V - ANTENNE CFA DE LA CCIR PARIS;Autre formation du supérieur;1ère année d'études supérieures
;0;;;;;SUP DE V - ANTENNE CFA DE LA CCIR PARIS;Autre formation du supérieur;4ème année d'études supérieures ou plus
17;6;3;13;4;1;SUP DE V - ANTENNE CFA DE LA CCIR PARIS;BTS - BTSA - BTSM;1ère année d'études supérieures
2;1;0;2;2;;SUP DE V - ANTENNE CFA DE LA CCIR PARIS;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;1;;;1;SUP EXPERTISE;BTS - BTSA - BTSM;1ère année d'études supérieures
;1;0;;1;;SUP EXPERTISE;BTS - BTSA - BTSM;2nd année d'études supérieures
0;3;1;;1;1;SUP EXPERTISE;DCG;1ère année d'études supérieures
1;1;0;;1;;SUP EXPERTISE;DCG;2nd année d'études supérieures
1;;0;;;;SUP EXPERTISE;DCG;3ème année d'études supérieures
0;;;;;;Sup Santé;Autre formation du supérieur;1ère année d'études supérieures
0;1;;;;;Sup Santé;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;1;;;Sup Santé;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;Sup Santé;Formations professionnelles;1ère année d'études supérieures
1;;;1;;;Suptertiaire;Autre formation du supérieur;1ère année d'études supérieures
1;;;;;;Suptertiaire;Autre formation du supérieur;3ème année d'études supérieures
;0;;;;;Suptertiaire;Autre formation du supérieur;4ème année d'études supérieures ou plus
4;14;5;5;8;6;Suptertiaire;BTS - BTSA - BTSM;1ère année d'études supérieures
3;2;3;4;3;2;Suptertiaire;BTS - BTSA - BTSM;2nd année d'études supérieures
1;0;;;;;Suptertiaire;Formations professionnelles;3ème année d'études supérieures
1;1;;;1;;Suptertiaire;Licence professionnelle;1ère année d'études supérieures
;1;;;1;;TALIS Paris;Autre formation du supérieur;1ère année d'études supérieures
;0;;;;;TALIS Paris;Autre formation du supérieur;3ème année d'études supérieures
;0;;;1;;TALIS Paris;Autre formation du supérieur;4ème année d'études supérieures ou plus
12;6;;10;5;;TALIS Paris;BTS - BTSA - BTSM;1ère année d'études supérieures
0;5;;1;3;;TALIS Paris;BTS - BTSA - BTSM;2nd année d'études supérieures
;1;;;1;;TALIS Paris;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
1;0;;1;;;TALIS Paris;Formations professionnelles;1ère année d'études supérieures
0;;;;;;TALIS Paris;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
3;0;;2;;;Toulouse Business School - Campus de Paris;Formations des écoles de commerce et de management;1ère année d'études supérieures
;0;1;;;1;Toulouse Business School - Campus de Paris;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
28;25;17;22;19;16;Université Paris 1 Panthéon Sorbonne;Année préparatoire à la capacité en droit;Année préparatoire aux études supérieures
45;30;23;35;24;22;Université Paris 1 Panthéon Sorbonne;Année préparatoire au DAEU;Année préparatoire aux études supérieures
11;11;20;10;8;18;Université Paris 1 Panthéon Sorbonne;Autre formation du supérieur;1ère année d'études supérieures
0;1;2;;;1;Université Paris 1 Panthéon Sorbonne;Autre formation du supérieur;2nd année d'études supérieures
3;4;1;3;4;1;Université Paris 1 Panthéon Sorbonne;Autre formation du supérieur;3ème année d'études supérieures
5;4;2;6;4;2;Université Paris 1 Panthéon Sorbonne;Autre formation du supérieur;4ème année d'études supérieures ou plus
3;;2;3;;2;Université Paris 1 Panthéon Sorbonne;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
0;1;1;;;1;Université Paris 1 Panthéon Sorbonne;CPGE;1ère année d'études supérieures
;;0;;;1;Université Paris 1 Panthéon Sorbonne;CPGE;4ème année d'études supérieures ou plus
1;;;1;;;Université Paris 1 Panthéon Sorbonne;DEUST;1ère année d'études supérieures
;1;;;1;;Université Paris 1 Panthéon Sorbonne;DEUST;2nd année d'études supérieures
2;;;1;;;Université Paris 1 Panthéon Sorbonne;DEUST;3ème année d'études supérieures
22;16;15;16;7;15;Université Paris 1 Panthéon Sorbonne;Diplômes d'université ou d'établissement;1ère année d'études supérieures
4;0;1;2;;2;Université Paris 1 Panthéon Sorbonne;Diplômes d'université ou d'établissement;2nd année d'études supérieures
11;4;3;6;2;3;Université Paris 1 Panthéon Sorbonne;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
1;;;;;;Université Paris 1 Panthéon Sorbonne;Formations d'art, de design et du spectacle vivant;2nd année d'études supérieures
2;;0;1;;;Université Paris 1 Panthéon Sorbonne;Formations d'art, de design et du spectacle vivant;3ème année d'études supérieures
;;0;;;1;Université Paris 1 Panthéon Sorbonne;Formations des écoles d'ingénieurs;1ère année d'études supérieures
1;4;0;1;3;;Université Paris 1 Panthéon Sorbonne;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
