Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
1;1;AUDENCIA - SAINT-OUEN;Formations des écoles de commerce et de management;Non scolarisés;M;Créteil
1;;Aureïs formation;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
2;1;Aureïs formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;Aureïs formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;;Aureïs formation;BTS - BTSA - BTSM;Non scolarisés;F;Paris
5;6;AURLOM BTS+;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
1;1;AURLOM BTS+;Autre formation du supérieur;Non scolarisés;F;Paris
66;37;AURLOM BTS+;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
60;29;AURLOM BTS+;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
13;9;AURLOM BTS+;BTS - BTSA - BTSM;Non scolarisés;F;Paris
17;8;AURLOM BTS+;BTS - BTSA - BTSM;Non scolarisés;M;Paris
1;1;AURLOM BTS+;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;AURLOM BTS+;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
0;;AURLOM BTS+;Prépa formation paramédicale (prépa orthophoniste, ...);Etudiants (réorientation, mise à niveau);F;Paris
2;2;Beth Sefer Yad Mordekhai;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
6;5;Beth Sefer Yad Mordekhai;Terminale;Lycéens de Terminale;F;Paris
1;1;BTP CFA;Première;Autres;M;Versailles
0;;BTP CFA;Terminale;Lycéens de Terminale;F;Versailles
1;2;BTP CFA;Terminale;Lycéens de Terminale;M;Versailles
5;6;BUC RESSOURCES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;BUC RESSOURCES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;BUC RESSOURCES;Formations diplômantes du travail social;Non scolarisés;F;Versailles
1;1;Campus de l'Esthétique et du SPA;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);F;Paris
