Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Niveau d'études;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non);Cordées de la réussite
3;3;Lycée Emile Dubois;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
160;151;Lycée Fénelon;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
59;44;Lycée François Rabelais;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée François Rabelais;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
41;37;Lycée François Rabelais;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
24;22;Lycée Francois Villon;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
100;65;Lycée Francois Villon;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
20;8;Lycée Fresnel;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;;Lycée Fresnel;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
5;5;Lycée Fresnel;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
136;118;Lycée Gabriel Faure;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Gabriel Faure;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
367;345;Lycée Hélène Boucher;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
30;26;Lycée Hélène Boucher;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
153;138;Lycée Henri Bergson-Jacquard;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
19;16;Lycée Henri Bergson-Jacquard;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
2;2;Lycée Henri Bergson-Jacquard;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
104;67;Lycée Henri Bergson-Jacquard;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
6;4;Lycée Henri Bergson-Jacquard;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;1;Lycée Henri Bergson-Jacquard;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
247;246;Lycée Henri IV;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
28;21;Lycée Henri IV;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
226;212;Lycée Honoré De Balzac;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
57;48;Lycée Honoré De Balzac;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
269;238;Lycée Jacques Decour;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
31;22;Lycée Jacques Decour;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
30;21;Lycée Jacques Monod;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
31;21;Lycée Jacques Monod;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
31;29;Lycée Jacques Monod;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
50;37;Lycée Jacques Monod;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;4;Lycée Jacques Monod;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;1;Lycée Jacques Monod;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
344;327;Lycée Janson De Sailly;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
30;27;Lycée Janson De Sailly;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
268;256;Lycée Jean-Baptiste Say;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
180;174;Lycée Jean De La Fontaine;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
13;12;Lycée Jean De La Fontaine;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
13;6;Lycée Jean Lurcat;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
9;4;Lycée Jean Lurcat;Terminale;Terminale;Professionnelle;Non;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;;Lycée Jean Lurcat;Terminale;Terminale;Professionnelle;Non;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
1;;Lycée Jean Lurcat;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
7;5;Lycée Jean Lurcat;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
11;11;Lycée Jean Lurcat;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;1;Lycée Jean Lurcat;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
58;31;Lycée Jean Lurcat;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
49;39;Lycée Jean Lurcat;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
4;1;Lycée Jean Lurcat;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
207;186;Lycée Jules Ferry;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
60;26;Lycée Jules SIEGFRIED;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
27;14;Lycée Jules SIEGFRIED;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
166;158;Lycée Lamartine;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
